"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2019年5月","03000","岩手県","548490",""
"2019年6月","03000","岩手県","498050",""
"2019年7月","03000","岩手県","546750",""
"2019年8月","03000","岩手県","697840",""
"2019年9月","03000","岩手県","496120",""
"2019年10月","03000","岩手県","555070",""
"2019年11月","03000","岩手県","494120",""
"2019年12月","03000","岩手県","460110",""
"2020年1月","03000","岩手県","461590","速報"
"2020年2月","03000","岩手県","449260","速報"
"2020年3月","03000","岩手県","305110","速報"
"2020年4月","03000","岩手県","147700","速報"
"2020年5月","03000","岩手県","127040","速報"
"2020年6月","03000","岩手県","217380","速報"
"2020年7月","03000","岩手県","329160","速報"
"2020年8月","03000","岩手県","318560","速報"
"2020年9月","03000","岩手県","422060","速報"
"2020年10月","03000","岩手県","514830","速報"
"2020年11月","03000","岩手県","461070","速報"
"2020年12月","03000","岩手県","357600","速報"
"2007年1月","04000","宮城県","475790",""
"2007年2月","04000","宮城県","504380",""
"2007年3月","04000","宮城県","558360",""
"2007年4月","04000","宮城県","530340",""
"2007年5月","04000","宮城県","585020",""
"2007年6月","04000","宮城県","601360",""
"2007年7月","04000","宮城県","624890",""
"2007年8月","04000","宮城県","825880",""
"2007年9月","04000","宮城県","645490",""
"2007年10月","04000","宮城県","696180",""
"2007年11月","04000","宮城県","671850",""
"2007年12月","04000","宮城県","604750",""
"2008年1月","04000","宮城県","465050",""
"2008年2月","04000","宮城県","494960",""
"2008年3月","04000","宮城県","571220",""
"2008年4月","04000","宮城県","495760",""
"2008年5月","04000","宮城県","571400",""
"2008年6月","04000","宮城県","551640",""
"2008年7月","04000","宮城県","551400",""
"2008年8月","04000","宮城県","693690",""
"2008年9月","04000","宮城県","546620",""
"2008年10月","04000","宮城県","603130",""
"2008年11月","04000","宮城県","608820",""
"2008年12月","04000","宮城県","548800",""
"2009年1月","04000","宮城県","465720",""
"2009年2月","04000","宮城県","472350",""
"2009年3月","04000","宮城県","534120",""
